FID;PHOTO_URL;LATITUDE;LONGITUDE;ALTITUDE;DIRECTION;DATUM;SYMBOLOGIE;DATE;NOM_PHOTO
0;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116252.jpg;54,455641666600002;-67,928861666600000;2723,097000000000207;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116252.jpg
1;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116253.jpg;54,455781666599997;-67,929426666599994;2719,815999999999804;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116253.jpg
2;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116254.jpg;54,456003333300004;-67,930468333299999;2713,255000000000109;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116254.jpg
3;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116256.jpg;54,456608333299997;-67,933588333299994;2716,534999999999854;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116256.jpg
4;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116257.jpg;54,456926666599998;-67,935136666600002;2785,432999999999993;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116257.jpg
5;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116259.jpg;54,457536666599999;-67,935576666599999;2240,813999999999851;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116259.jpg
6;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116260.jpg;54,457353333299999;-67,937586666599998;2230,971000000000004;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116260.jpg
7;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116261.jpg;54,457353333299999;-67,937586666599998;2230,971000000000004;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116261.jpg
8;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116262.jpg;54,457161666600001;-67,938569999999999;2230,971000000000004;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116262.jpg
9;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_NORD/Photos_Nord/_1116263.jpg;54,456993333299998;-67,939443333300005;2234,251999999999953;0,000000000000000;WGS 84;2012;2012-07-10 00:00:00;_1116263.jpg
